Account: Micro Region,Account: Billing Country,Workload Progress,Primary Workload Pillar,Key Workload Products,Solutions,Account: Account Name,Account: Account Owner,Account: Product Area,Workload: Workload Name,Primary CE Technical Owner,Workload Gross Annual Recurring Revenue (converted),Implementation Lead,Partner,Workload End Date,PSF Investment,PSF Status,PSF Type,Opportunity,Tiene Gemini Enterprise en ell Workload,Tiene Gemini Enterprise en la Oportunidad?,Aparently is GE
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Banco Internacional,Roberto Bagnolo,,[Banco Internacional] Core bancario,Francisco Valenzuela,"USD 200,000",Unknown,,,go/psf-request,psf-request,,Banco Internacional S A / $ 3.24M TCV / 5 Yrs,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Banco Internacional,Roberto Bagnolo,,[Banco Internacional] DC Exit 2.0,Francisco Valenzuela,"USD 175,000",Unknown,,,go/psf-request,psf-request,,Banco Internacional S A / $ 3.24M TCV / 5 Yrs,FALSE,FALSE,
FSI,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,BANCO C6 S.A.,Lu Barreto,,C6 Bank - Dialogflow | phaseout,Elisa Kobayashi Sigueta,"USD -500,000",Customer,,,go/psf-request,psf-request,,[C6 BANK] Faseout Dialogflow FY25/26. #AI/ML,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Compania de Seguros Confuturo SA,Roberto Bagnolo,,[Confuturo] Networking & FW,Francisco Valenzuela,"USD 175,000",Unknown,,,go/psf-request,psf-request,,"Compania de Seguros Confuturo SA / $ 3,050,650.00 TCV / 5Y",FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Compania de Seguros de Vida Camara S.A.,Roberto Bagnolo,,[VIDA CAMARA] DC Exit 2.0,Francisco Valenzuela,"USD 150,000",Unknown,,,go/psf-request,psf-request,,"Compania de Seguros de Vida Camara S.A./ $ 2,063,090.00 M TCV / 5YRS",FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Isapre Consalud S.A.,Roberto Bagnolo,,[Consalud] Backup & DR Architecture,Francisco Valenzuela,"USD 200,000",Unknown,,,go/psf-request,psf-request,,Isapre Consalud S.A. /$ 3.1M TCV/ 5 YRS,FALSE,FALSE,
Colombia,Colombia,4.2: Ramping / Deliver,Build with AI,,,TERPEL,Juan Carlos Florez,,Terpel - Cima Proyecto ExperiencIA,Carlos Peña,"USD 50,000",Customer,,,go/psf-request,psf-request,,Terpel iniciativas Cima,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Dafiti Brazil,Mariana Martins Vasconcelos,,Dafiti Virtual Try-on | Foundation and Infra,Sabrina Guerra,"USD 15,000",Customer,,,go/psf-request,psf-request,,Dafiti #GCP #Virtual Try-on #OppBDR,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Clinica Alemana de Santiago S.A.,Roberto Bagnolo,,Movimiento de maquinas virtuales,Francisco Valenzuela,"USD 80,000",Partner,,,go/psf-request,psf-request,,Recommit 2025 - Orion,FALSE,FALSE,
Argentina,Argentina,0-2: Tech Eval/Solution Dev,,,,SANCOR COOPERATIVA DE SEGUROS LIMITADA,Natalia Giordano,,Sancor - Vertex,,"USD 40,000",Unknown,,,go/psf-request,psf-request,,Sancor - Vertex,FALSE,FALSE,
Argentina,Argentina,0-2: Tech Eval/Solution Dev,,,,SANCOR COOPERATIVA DE SEGUROS LIMITADA,Natalia Giordano,,Sancor - CCAI,,"USD 38,000",Unknown,,,go/psf-request,psf-request,,Sancor - Infra AI,FALSE,FALSE,
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,,Cloud AI - Vertex AI Platform,,Superior Tribunal de Justiça - STJ,Tamyres Rocha,,Transcrição,,,Partner,IPNET SERVICOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA (fka METARJ SOLUCOES EM GEOTECNOLOGIA E DESENV DE SISTEMAS LTDA),,go/psf-request,psf-request,,SUPERIOR TRIBUNAL DE JUSTIÇA - TRANSCRIÇÃO,FALSE,FALSE,
EDU PS,Brazil,4.2: Ramping / Deliver,Build with AI,Cloud AI - Vertex AI Platform; Cloud AI - Vertex AI Conversation,,Wiser Educação GWUP,Luiz Avila,,Wiser Educacao - Tutor AI for English Classes [Fase 2 // Aulas Pré-Construídas],Vitor Vieira,"USD 200,000",Partner,SANTODIGITAL DISTRIBUICAO E CONSULTORIA EM INFORMATICA LTDA,,"http://go/vector/0RJKf000000x0r3OAA - PARTNER: SANTODIGITAL DISTR... | STATUS: Canceled (2025-11-11) | AMT: 36,720 | TYPE: Consumption Planning (GenAI)
http://go/vector/0RJKf000000x0v0OAA - PARTNER: SANTODIGITAL DISTR... | STATUS: Approved (2025-11-14) | ",Approved,Consumption Planning (GenAI),Wiser Educacao - Tutor AI for English Classes [Fase 1 // Aulas Pré-Construídas],FALSE,FALSE,
Bay Area & Semi,United States,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Search,,HP Inc.,Heather Votel,,[HP] Global HP Website search agent,Noura Daadaa,"USD 2,700,000",Partner,"Grid Dynamics Holdings, Inc.",10/1/2027,"http://go/vector/0RJKf000000GvmhOAC - PARTNER: Grid Dynamics Hold... | STATUS: Approved (2026-03-13) | AMT: 200,000 | TYPE: Migration (GenAI)",Approved,Migration (GenAI),HP - Vertex AI Search for Commerce,FALSE,FALSE,
FSI,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Solutions,,Banco do Brasil S/A,Rafael Farias,,BB - Gemini Enterprise Standard (13.200 Seats),Gabriel Moraes,"USD 518,400",Unknown,,,go/psf-request,psf-request,,BB - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
MX CORP,Mexico,0-2: Tech Eval/Solution Dev,,,,"Welldex Internacional, S.C.",Rodrigo Cruz Miranda,,Nubosoft GWS,,"USD 185,000",Unknown,,,go/psf-request,psf-request,,WELLDEX Commit,FALSE,FALSE,
Brazil PS,Brazil,3:  Proposal / Negotiation,Build with AI,Gemini AI,,Corpo de Bombeiros Militar do Distrito Federal,Tamyres Rocha,,Gemini Enterprise,Vitor Vieira,"USD 10,000",Customer,IPNET SERVICOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA (fka METARJ SOLUCOES EM GEOTECNOLOGIA E DESENV DE SISTEMAS LTDA),,go/psf-request,psf-request,,Corpo de Bombeiros Militar do Distrito Federal #GCP #Gemini Enteprise,TRUE,FALSE,Gemini enterprise
Argentina,Argentina,3:  Proposal / Negotiation,Build with AI,Cloud AI - Vertex AI Platform,,Naranja X,Cristian Ferme,,Gemini Enterprise - Adoption Yr 1,Andres Villa,"USD 225,000",Unknown,,,go/psf-request,psf-request,,NaranjaC - AI projects Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Argentina,Argentina,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Search,,FRÁVEGA S.A.C.I. e I.,Andrés Basso,,Gemini Ent,,"USD 159,300",Partner,ALGEIBA BUSINESS SOLUTIONS SOCIEDAD ANONIMA,,go/psf-request,psf-request,,Fravega - Agentspace #300 seats,FALSE,FALSE,
EDU PS,Brazil,3:  Proposal / Negotiation,Build with AI,Infrastructure AI; Cloud AI - Vertex AI Platform,,VITRU Educaçao,Bruno Schenardi,,SofIA com ML - Hyper Costomização,,"USD 120,000",Unknown,,,go/psf-request,psf-request,,Vitru - Tutor do Aluno SofIA fase 2,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Supermix Concreto S/A,Renan Valadares,,Gemini Ent :: 10 seats,,"USD 4,000",Partner,,,go/psf-request,psf-request,,Supermix Concreto S/A #GCP #Agentspace,FALSE,FALSE,
MX DN,Mexico,0-2: Tech Eval/Solution Dev,,,,"FISOFO, S.A. DE C.V., SOFOM, E.N.R",Edgar Torres,,SAS Institute Replacement,,"USD 700,000",Unknown,,,go/psf-request,psf-request,,Fisofo - SAS Institute replacement,FALSE,FALSE,
BR CORP,Brazil,3:  Proposal / Negotiation,Build with AI,,,CVC CORP,Sergio Reviti,,"CVC - Projetos AI (Predictions, VEO3, Imagen)",,"USD 150,000",Customer,,,go/psf-request,psf-request,,CVC - #GCP #CloudAI #Corporate #Brasil,FALSE,FALSE,
MCO CORP CCA,Nicaragua,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Grupo LAFISE,Diana Cuevas Jurney,,LAFISE #GeminiEnterprise #GCP,,"USD 36,000",Partner,,,go/psf-request,psf-request,,LAFISE #GeminiEnterprise #GCP,TRUE,TRUE,Gemini enterprise
MCO CORP CCA,El Salvador,0-2: Tech Eval/Solution Dev,Build with AI,Infrastructure AI,,Empresas Adoc,Daniel Cornejo,,Adoc-SAP-GCP,,"USD 200,000",Partner,"SERVINFORMACION EL SALVADOR, SOCIEDAD ANONIMA DE CAPITAL VARIABLE",,go/psf-request,psf-request,,SAP-GCP,FALSE,FALSE,
BR CORP,Brazil,3:  Proposal / Negotiation,Build with AI,,,Cobra Rolamentos e Autopeças SA,Sarah Tobias,,Cobra Rolamentos,,"USD 250,000",Partner,IPNET SERVICOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA (fka METARJ SOLUCOES EM GEOTECNOLOGIA E DESENV DE SISTEMAS LTDA),,go/psf-request,psf-request,,Cobra Rolamentos e Autopecas - Commit 2026,FALSE,FALSE,
Brazil PS,Brazil,3:  Proposal / Negotiation,Build with AI,,,Serviço Federal de Processamento de Dados - Serpro,Aline Bergamaschi,,DPEMG - Gemini Enterprise Std 495 users,Siumara Ambrosio,"USD 130,095",Customer,,,go/psf-request,psf-request,,STANDARD - DPE/MG: Gemini Enterprise Standard | USD 130K TCV / 1Yr - 495 user,TRUE,TRUE,Gemini enterprise
Media & Telco,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform; Gemini AI,,Globo Comunicacao e Participacoes SA,Felipe Paranhos,,Storyfy,Alex Carneiro,"USD 50,000",Partner,CI&T Software S/A,,"http://go/vector/0RJKf000000sdiAOAQ - PARTNER: CI&T Software S/A | STATUS: Approved (2025-11-18) | AMT: 20,000 | TYPE: Migration (GenAI)",Approved,Migration (GenAI),Globo - PSF for Storyfy,FALSE,FALSE,
MCO PS,Colombia,4.2: Ramping / Deliver,Build with AI,Cloud AI - Vertex AI Conversation,,EMPRESA DE TRANSPORTE MASIVO DEL VALLE DE ABURRA LTDA,Santiago Moreno,,Ai_Agente_Metro_Medellin_NetApplication,Magda Martinez,"USD 17,000",Partner,INGRAM MICRO SAS,,go/psf-request,psf-request,,AI Metro Dev_Net FSR,FALSE,FALSE,
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Tribunal de Justica do Estado de Minas Gerais,Luiz Augusto Silva,,TJMG - Document OCR,Vitor Vieira,"USD 744,000",Customer,,,go/psf-request,psf-request,,STANDARD - TJMG: Documents OCR | USD 744K TCV / 1Yr,FALSE,FALSE,
FSI,Brazil,3:  Proposal / Negotiation,Build with AI,Cloud AI - Vertex AI Model Garden,,Banco do Brasil S/A,Rafael Farias,,6 GSUs Gemini 2.5 Flash - Prod,Gabriel Moraes,"USD 194,400",Customer,,,go/psf-request,psf-request,,BB - Gemini 2.5 Flash PTs,FALSE,FALSE,
Colombia,Colombia,3:  Proposal / Negotiation,,,,SURA - RELEVANT,Juan Sebastian Rodelo Arnedo,,Sura SAP Rise,,,Partner,,11/30/2028,go/psf-request,psf-request,,SURA SAP RISE 3YR Scenario 1,FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,Cencosud S.A.,Victoria Vecchio,,[Cenco] - Cenco Data AI use cases 2026,Luis Gerardo Baeza,"USD 36,000",Customer,,,go/psf-request,psf-request,,Cencosud - Cencomalls,FALSE,FALSE,
Health,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Hapvida NotreDame Intermedica,Leandro Okabayashi (Koba),,[Hapvida] Gemini Enterprise,,"USD 94,860",Customer,,,go/psf-request,psf-request,,HAPVIDA - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
EDU PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Grupo Marista,Sandra Sagara,,Mediação VR,Cedeia Vieira de Araujo,"USD 60,000",Partner,RADHARK DESENVOLVIMENTO E CONSULTORIA EM TECNOLOGIA LTDA,,go/psf-request,psf-request,,Grupo Marista / $4.8M TCV / 3 YRS,FALSE,FALSE,
MCO CORP NORTE,Colombia,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S A ESP,Dario Palma Villarreal,,Agentic Process Automation,Salvador Arllentar,"USD 300,000",Partner,TD SYNNEX COLOMBIA LTDA,,go/psf-request,psf-request,,ETB - Infrastructure Migration & Workspace takeover,FALSE,FALSE,
MCO CORP CCA,Panama,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform; Cloud AI - Vertex AI Model Garden; Cloud AI - Vertex AI Conversation; Cloud AI - Vertex AI Solutions; Gemini AI,,Banco General SA,Daniel Cornejo,,B General - Gem Ent,Anita del Pilar Quevedo,"USD 54,000",Partner,,,go/psf-request,psf-request,,Banco General - Deloitte - Gemini Ent,FALSE,FALSE,
MCO CORP CCA,Nicaragua,0-2: Tech Eval/Solution Dev,Build with AI,,,Grupo Promerica,Daniel Cornejo,,Promerica - Deloitte - Gemini Ent,,"USD 49,000",Partner,,,go/psf-request,psf-request,,Promerica - Deloitte - Gemini Ent,FALSE,FALSE,
MCO CORP NORTE,Colombia,0-2: Tech Eval/Solution Dev,Build with AI,,,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S A ESP,Dario Palma Villarreal,,ETB Gemini Enterprise,Salvador Arllentar,"USD 85,000",Customer,,,go/psf-request,psf-request,,ETB - Azure mig. Cyber & Looker,TRUE,FALSE,Gemini enterprise
BR CORP,Brazil,3:  Proposal / Negotiation,Build with AI,,,grupopartage.com.br,Sarah Tobias,,GCP,,"USD 60,000",Unknown,,,go/psf-request,psf-request,,#tier3 GRUPO PARTAGE #Vertex AI #Meet AI Mode #Acc_latam #Outbound,FALSE,FALSE,
Large Accounts,Brazil,3:  Proposal / Negotiation,Build with AI,Gemini AI,,BRB Banco de Brasília S/A,Andre Estuqui,,BRB - Gemini Code Assist [200],,"USD 54,740",Partner,IPNET SERVICOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA (fka METARJ SOLUCOES EM GEOTECNOLOGIA E DESENV DE SISTEMAS LTDA),,go/psf-request,psf-request,,BRB - Gemini Code Assist,FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Becle, S.A.B. de C.V.",Ana Schultz,,"Gemini Enterprise- EMEA, US, MX",Pablo Montero,"USD 800,000",Partner,Thinkcare technologies global services S.C,,go/psf-request,psf-request,,"THINKCARE TECHNOLOGIES GLOBAL SERVICES / $1,974,720.00 TCV / 3 Yrs",TRUE,FALSE,Gemini enterprise
MX Multi-industry & Monterrey,Mexico,3:  Proposal / Negotiation,,,,"Becle, S.A.B. de C.V.",Ana Schultz,,"Crowdstrike, Zcaler, Qlick",,"USD 1,600,000",Partner,,,go/psf-request,psf-request,,"THINKCARE TECHNOLOGIES GLOBAL SERVICES / $1,974,720.00 TCV / 3 Yrs",FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Becle, S.A.B. de C.V.",Ana Schultz,,GenAI Media for Marketing,Liliana Sánchez,"USD 360,000",Partner,,10/16/2026,go/psf-request,psf-request,,"THINKCARE TECHNOLOGIES GLOBAL SERVICES / $1,974,720.00 TCV / 3 Yrs",FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,3:  Proposal / Negotiation,Build with AI,,,"Becle, S.A.B. de C.V.",Ana Schultz,,Modelos Vertex Custom Agents,Pablo Montero,"USD 450,000",Partner,Thinkcare technologies global services S.C,,go/psf-request,psf-request,,"THINKCARE TECHNOLOGIES GLOBAL SERVICES / $1,974,720.00 TCV / 3 Yrs",FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,,Gemini AI,,Impulsora Sahuayo,Eduardo Bello,,Gemini Enterprise,,"USD 60,000",Unknown,SITINFORMACION S.A de C.V,12/25/2026,go/psf-request,psf-request,,Sahuayo - Vertex AI Search - #Gemini Enterprise,TRUE,TRUE,Gemini enterprise
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,"Comercializadora Círculo CCK, S.A. de C.V.",Eduardo Bello,,Gemini Enterprise,Yerish Alejandro Blancarte,"USD 20,000",Unknown,XERTICA,7/24/2026,go/psf-request,psf-request,,Comercializadora CCK - Vertex AI Search - #Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Procuradoria Geral do Municipio Rio de Janeiro,Luiz Augusto Silva,,PGMRJ - Vertex AI,,"USD 75,000",Partner,Telmex do Brasil S/A,,go/psf-request,psf-request,,STANDARD - PGM/RJ: Vertex AI | USD 75K TCV / 1Yr,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Companhia de Água e Esgoto do Céara,Roberta Coelho,,Migracao BQ_Cagece,,"USD 49,000",Partner,XERTICA BRASIL LTDA,,go/psf-request,psf-request,,CDÁE-128091-COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ-,FALSE,FALSE,
MCO CORP NORTE,Colombia,0-2: Tech Eval/Solution Dev,,,,CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO,Santiago Guerrero,,Colsubsidio SAP RISE,,"USD 430,000",Unknown,,,go/psf-request,psf-request,,Colsubsidio SAP RISE,FALSE,FALSE,
Brazil PS,Brazil,3:  Proposal / Negotiation,Build with AI,,,Governo Do Estado De São Paulo.,Thais Greco,,Gemini - Detran,Arthur Martins,"USD 70,000",Partner,IPNET SERVICOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA (fka METARJ SOLUCOES EM GEOTECNOLOGIA E DESENV DE SISTEMAS LTDA),5/17/2027,"http://go/vector/0RJKf000000GuemOAC - PARTNER: IPNET SERVICOS EM ... | STATUS: Approved (2025-12-04) | AMT: 6,930 | TYPE: POC/Pilot (GenAI)",Approved,POC/Pilot (GenAI),Governo Do Estado De São Paulo./ $40M TCV/2YRS [Commit],FALSE,FALSE,
MCO CORP NORTE,Colombia,0-2: Tech Eval/Solution Dev,,,,CAMARA DE COMERCIO DE BOGOTA,Andrea Forero,,CErtificados_ CCB,,"USD 60,000",Unknown,,,go/psf-request,psf-request,,CCB_CERTIFICADOS,FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,"Innovación y Conveniencia, S.A. de C.V.",Jair De la Garza,,ICONN - Vertex AI,Charlie Suarez,"USD 250,000",Unknown,,,go/psf-request,psf-request,,"ICONN Re-engagement 2026 (Mandiant, Vertex & Infra)",FALSE,FALSE,
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Transbank S.A.,Andrés Teillery Rodríguez,,Vmware for Base24 nonstop,,,Partner,,,go/psf-request,psf-request,,Transbank - Nonstop #gcve - TBD #BROADCOM,FALSE,FALSE,
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Tribunal de Justiça do Mato Grosso - TJMT,Rodrigo Fernandes,,Gemini Enterprise Connect Apps,,"USD 150,000",Customer,,,go/psf-request,psf-request,,TJMT - BQ + Vertex AI #SalesCreditPOC,TRUE,FALSE,Gemini enterprise
Health,Brazil,4.1: Pre Ramp / Mobilize,Build with AI,,,Hapvida NotreDame Intermedica,Leandro Okabayashi (Koba),,[Hapvida] IA Licitação,,"USD 50,000",Customer,,,go/psf-request,psf-request,,[Hapvida] Commit AI,FALSE,FALSE,
Health,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Hapvida NotreDame Intermedica,Leandro Okabayashi (Koba),,[Hapvida] AI Projects Pipeline,,"USD 480,000",Unknown,,,go/psf-request,psf-request,,[Hapvida] Commit AI,FALSE,FALSE,
Health,Brazil,4.2: Ramping / Deliver,Build with AI,,,Hapvida NotreDame Intermedica,Leandro Okabayashi (Koba),,[Hapvida] OCR Contratos,Filipe Borges,"USD 30,000",Customer,,,go/psf-request,psf-request,,[Hapvida] OCR Documentos Contratos,FALSE,FALSE,
MCO CORP CCA,Panama,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Banesco Panama S.A,Leonardo Rusinque,,Gemini Enterprise,,"USD 42,000",Partner,eSource Capital Inc.,,go/psf-request,psf-request,,Banesco Panama S.A. - Gemini Enterprise - 2000 Lic,TRUE,TRUE,Gemini enterprise
FSI,Brazil,4.1: Pre Ramp / Mobilize,Build with AI,Cloud AI - Vertex AI Platform,,STONE INSTITUICAO DE PAGAMENTO S.A,Lu Barreto,,STONE - Migrating VertexAI to Databricks: Y26 Loss,Elisa Kobayashi Sigueta,"USD -100,000",Customer,,,go/psf-request,psf-request,,,FALSE,FALSE,
Streamline PS,Brazil,4.2: Ramping / Deliver,Build with AI,Infrastructure AI,,Tribunal Regional Eleitoral do Espirito Santo,Roberta Jezler,,GCP_ IA_ TRE-ES,,"USD 30,000",Partner,SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),,go/psf-request,psf-request,,Tribunal Regional Eleitoral do Espirito Santo #OUT ##GOV-PS-BR,FALSE,FALSE,
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,Secretaria da Inovação e Inteligência Artificial - SEIA,Andrea Rodacki,,EA PR GOV - CELIA - agente IA da SEIA,,"USD 100,000",Partner,Blueshift Brasil LTDA - EPP,,go/psf-request,psf-request,,"Secretaria da Inovação e Inteligência Artificial - SEIA - CELEPAR / $21,249,600 TCV / 3 YR",FALSE,FALSE,
Streamline PS,Brazil,4.2: Ramping / Deliver,Build with AI,Infrastructure AI,,TRIBUNAL REGIONAL ELEITORAL DA BAHIA,Roberta Jezler,,GCP_ IA_TRE-BA_Serpro,,"USD 20,000",Partner,SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),,go/psf-request,psf-request,,GCP_TRE_BA_Serpro,FALSE,FALSE,
MX Multi-industry & Monterrey,Mexico,3:  Proposal / Negotiation,,,,"Grupo Cinemex, S.A. de C.V.",Eduardo Bello,,Workspace - Commit,,"USD 203,800",Unknown,,3/31/2027,go/psf-request,psf-request,,Operadora de Cinemas - Commit,FALSE,FALSE,
Argentina,Argentina,0-2: Tech Eval/Solution Dev,,Cloud AI - Vertex AI Platform,,Naranja X,Cristian Ferme,,NaranjaX - Data & Analytics,Pablo Oronó,"USD 180,000",Partner,ESOURCE ARGENTINA S.R.L.,5/28/2027,go/psf-request,psf-request,,NaranjaX - Data & Analytics,FALSE,FALSE,
